Customer ID,Restaurant Name,Cuisine Type,Cost of the order,Day of the week,Rating,Food preparing time,Delivery time,Total time
337525,Hangawi,Korean,30.75,Weekend,4,25,20,45
358141,Blue Ribbon Sushi Izakaya,Japanese,12.08,Weekend,4,25,23,48
66393,Cafe Habana,Mexican,12.23,Weekday,5,23,28,51
106968,Blue Ribbon Fried Chicken,American,29.2,Weekend,3,25,15,40
76942,Dirty Bird to Go,American,11.59,Weekday,4,25,24,49
147468,Tamarind TriBeCa,Indian,25.22,Weekday,3,20,24,44
157711,The Meatball Shop,Italian,6.07,Weekend,5,28,21,49
89574,Barbounia,Mediterranean,5.97,Weekday,3,33,30,63
121706,Anjappar Chettinad,Indian,16.44,Weekday,5,21,26,47
39705,Bukhara Grill,Indian,7.18,Weekday,5,29,26,55
143926,Big Wong Restaurant _¤¾Ñ¼,Chinese,5.92,Weekday,4,34,28,62
221206,Empanada Mama (closed),Mexican,8.1,Weekend,5,23,22,45
129969,Blue Ribbon Fried Chicken,American,24.3,Weekend,5,23,17,40
104548,Pylos,Mediterranean,11.3,Weekend,3,24,23,47
62667,Lucky's Famous Burgers,American,12.13,Weekday,5,23,30,53
66222,Shake Shack,American,16.2,Weekend,5,33,25,58
104555,Sushi of Gari,Japanese,16.98,Weekend,5,30,16,46
139885,Blue Ribbon Sushi Izakaya,Japanese,33.03,Weekend,4,21,22,43
47280,RedFarm Hudson,Chinese,14.12,Weekend,4,25,24,49
67487,Blue Ribbon Sushi,Japanese,16.2,Weekend,4,35,26,61
250494,Five Guys Burgers and Fries,American,24.2,Weekend,4,21,24,45
137565,Shake Shack,American,15.91,Weekend,4,25,20,45
150599,Shake Shack,American,29.1,Weekday,5,21,30,51
54630,Tortaria,Mexican,8.92,Weekend,5,33,16,49
363783,Cafe Mogador,Middle Eastern,15.86,Weekday,4,32,29,61
41877,Cafe Mogador,Middle Eastern,29.1,Weekday,5,20,29,49
371590,The Meatball Shop,Italian,21.88,Weekday,5,24,27,51
175290,Otto Enoteca Pizzeria,Italian,14.02,Weekend,5,24,16,40
76686,Vezzo Thin Crust Pizza,Italian,9.17,Weekend,5,21,24,45
149984,Sushi of Gari 46,Japanese,12.18,Weekday,4,20,29,49
318874,The Kati Roll Company,Indian,31.33,Weekend,5,28,25,53
302790,Klong,Thai,29.05,Weekend,5,35,24,59
317794,5 Napkin Burger,American,8.39,Weekday,4,35,24,59
105349,TAO,Japanese,9.12,Weekend,4,34,18,52
181782,Parm,Italian,29.1,Weekend,5,30,26,56
65224,Sushi Samba,Japanese,15.47,Weekend,5,32,26,58
148649,Blue Ribbon Sushi,Japanese,16.01,Weekday,4,23,31,54
118709,The Meatball Shop,Italian,24.3,Weekday,4,31,29,60
208020,Haru Gramercy Park,Japanese,29.83,Weekday,5,20,32,52
220693,Shake Shack,American,19.89,Weekend,4,27,19,46
378482,Chipotle Mexican Grill $1.99 Delivery,Mexican,19.35,Weekend,4,21,18,39
337525,TAO,Japanese,33.22,Weekend,4,23,19,42
133637,RedFarm Broadway,Chinese,24.25,Weekend,5,22,15,37
107909,Cafeteria,American,16.44,Weekend,3,33,22,55
365237,Five Guys Burgers and Fries,American,22.75,Weekend,5,30,20,50
322162,The Meatball Shop,Italian,6.74,Weekend,5,29,23,52
198802,DuMont Burger,American,29.05,Weekend,5,22,30,52
122864,Sarabeth's East,American,13.78,Weekend,4,34,24,58
52037,Blue Ribbon Fried Chicken,American,19.89,Weekday,4,27,24,51
81110,Hill Country Fried Chicken,Southern,16.93,Weekend,5,33,21,54
300003,Bistango,Italian,21.88,Weekend,4,21,19,40
91817,Blue Ribbon Fried Chicken,American,29.39,Weekend,4,27,28,55
112036,TAO,Japanese,20.23,Weekend,5,22,20,42
73895,RedFarm Broadway,Chinese,29.1,Weekend,4,22,23,45
130507,Jack's Wife Freda,Mediterranean,22.75,Weekend,3,35,29,64
129486,Mamoun's Falafel,Mediterranean,14.12,Weekend,3,31,15,46
313340,Sushi of Gari 46,Japanese,14.6,Weekday,3,24,24,48
177250,RedFarm Hudson,Chinese,12.23,Weekday,5,25,33,58
176234,Prosperity Dumpling,Chinese,14.02,Weekend,5,20,30,50
371677,Blue Ribbon Fried Chicken,American,6.79,Weekday,4,33,28,61
388918,Blue Ribbon Fried Chicken,American,24.25,Weekend,4,28,21,49
68551,Blue Ribbon Sushi Bar & Grill,Japanese,33.03,Weekend,5,33,20,53
152786,Cafe Habana,Mexican,31.38,Weekend,4,23,27,50
62980,Westville Hudson,American,8.34,Weekday,5,22,26,48
82041,Shake Shack,American,33.03,Weekday,4,22,32,54
361616,Blue Ribbon Brooklyn,American,24.2,Weekday,3,22,32,54
398426,RedFarm Broadway,Chinese,12.46,Weekend,4,24,20,44
130820,Nobu Next Door,Japanese,15.86,Weekend,5,29,23,52
200074,Osteria Morini,Italian,14.55,Weekend,4,34,22,56
65009,Blue Ribbon Fried Chicken,American,32.93,Weekend,5,24,23,47
170221,Shake Shack,American,16.98,Weekend,4,22,21,43
58092,Shake Shack,American,8.0,Weekend,5,27,23,50
50616,Parm,Italian,13.05,Weekend,4,28,27,55
133202,Sushi Samba,Japanese,29.05,Weekend,5,31,16,47
277898,Haandi,Indian,5.67,Weekday,4,23,31,54
77341,The Meatball Shop,Italian,16.93,Weekend,5,30,25,55
97079,Benihana,Japanese,29.29,Weekend,5,20,18,38
150002,The Kati Roll Company,Indian,16.15,Weekend,5,20,29,49
87472,RedFarm Hudson,Chinese,22.75,Weekend,4,31,30,61
231061,Han Dynasty,Chinese,13.34,Weekend,4,34,27,61
56722,Shake Shack,American,9.75,Weekend,5,33,25,58
107909,Cafeteria,American,6.69,Weekday,4,21,32,53
133617,Shake Shack,American,4.75,Weekday,4,35,28,63
67538,Chipotle Mexican Grill $1.99 Delivery,Mexican,12.56,Weekend,5,22,18,40
129969,The Meatball Shop,Italian,21.2,Weekend,5,34,16,50
57174,Tortaria,Mexican,19.31,Weekend,5,27,28,55
78939,Nobu Next Door,Japanese,16.3,Weekday,3,20,24,44
309513,Otto Enoteca Pizzeria,Italian,13.05,Weekday,5,33,27,60
129798,TAO,Japanese,25.27,Weekday,4,24,24,48
184085,Hill Country Fried Chicken,Southern,14.79,Weekend,5,35,15,50
329710,Shake Shack,American,5.72,Weekday,3,31,24,55
65009,Chote Nawab,Indian,16.15,Weekend,5,24,30,54
154030,RedFarm Hudson,Chinese,33.03,Weekend,4,26,22,48
86731,Mission Cantina,Mexican,16.2,Weekend,5,31,18,49
306119,Xi'an Famous Foods,Chinese,9.22,Weekday,4,31,32,63
164016,Blue Ribbon Fried Chicken,American,16.39,Weekend,4,27,22,49
121476,Blue Ribbon Fried Chicken,American,12.18,Weekday,3,29,27,56
305522,Shake Shack,American,24.2,Weekday,4,29,29,58
68976,Sarabeth's East,American,17.03,Weekend,3,26,30,56
60703,Cafe Habana,Mexican,6.79,Weekday,4,33,25,58
80460,Rubirosa,Italian,21.83,Weekend,3,30,27,57
128600,Blue Ribbon Fried Chicken,American,31.29,Weekday,4,22,33,55
142356,Blue Ribbon Sushi,Japanese,11.83,Weekend,4,26,21,47
83287,Five Guys Burgers and Fries,American,24.3,Weekend,5,30,20,50
134152,The Meatball Shop,Italian,22.26,Weekend,5,28,25,53
345899,TAO,Japanese,20.47,Weekend,4,26,30,56
38050,Blue Ribbon Sushi,Japanese,12.18,Weekend,5,28,25,53
259341,Joe's Shanghai _Àü£¾÷´,Chinese,15.81,Weekend,5,20,26,46
309513,Otto Enoteca Pizzeria,Italian,22.36,Weekend,5,26,27,53
234089,Blue Ribbon Sushi,Japanese,8.68,Weekend,5,34,27,61
125123,Shake Shack,American,21.83,Weekend,4,23,22,45
365244,Bareburger,American,16.3,Weekday,4,20,28,48
63020,The Odeon,American,12.9,Weekday,3,31,28,59
222879,Parm,Italian,29.15,Weekday,5,23,27,50
275535,Pongsri Thai,Thai,13.05,Weekday,4,31,24,55
49793,Yama Japanese Restaurant,Japanese,22.36,Weekend,5,30,16,46
137565,Shake Shack,American,31.29,Weekday,4,26,32,58
65009,Blue Ribbon Fried Chicken,American,7.86,Weekday,4,22,33,55
214394,Yama Japanese Restaurant,Japanese,16.1,Weekend,4,33,27,60
91907,Momoya,Japanese,16.98,Weekday,5,31,32,63
82041,Osteria Morini,Italian,12.95,Weekend,5,26,28,54
59419,Blue Ribbon Fried Chicken,American,11.69,Weekend,5,21,24,45
50199,Five Guys Burgers and Fries,American,12.13,Weekend,5,26,15,41
325210,The Meatball Shop,American,12.32,Weekend,5,31,19,50
100999,Balthazar Boulangerie,French,12.13,Weekend,4,22,27,49
146588,Sushi of Gari,Japanese,12.18,Weekday,5,25,24,49
310051,Parm,Italian,14.99,Weekend,4,34,24,58
